,accuracy,precision,recall,f1-score
airplane,81.6,71.64,81.6,76.3
automobile,80.5,91.06,80.5,85.46
bird,60.0,67.34,60.0,63.46
cat,54.8,48.62,54.8,51.53
deer,67.2,71.41,67.2,69.24
dog,65.2,60.26,65.2,62.63
frog,69.9,89.5,69.9,78.5
horse,80.3,73.2,80.3,76.59
ship,79.8,91.3,79.8,85.17
truck,88.7,74.92,88.7,81.23
