,accuracy,precision,recall,f1-score
0,99.39,99.08,99.39,99.24
1,99.03,99.56,99.03,99.29
2,98.16,96.57,98.16,97.36
3,97.92,96.21,97.92,97.06
4,96.74,97.14,96.74,96.94
5,94.51,98.71,94.51,96.56
6,97.29,99.25,97.29,98.26
7,98.64,96.76,98.64,97.69
8,98.56,95.05,98.56,96.77
9,95.44,98.07,95.44,96.74
