,accuracy,precision,recall,f1-score
0,99.8,99.09,99.8,99.44
1,99.74,98.95,99.74,99.34
2,99.03,99.51,99.03,99.27
3,99.5,98.72,99.5,99.11
4,99.39,99.8,99.39,99.59
5,98.99,98.33,98.99,98.66
6,99.06,99.68,99.06,99.37
7,98.74,99.32,98.74,99.02
8,99.18,99.38,99.18,99.28
9,98.41,99.1,98.41,98.76
