,accuracy,precision,recall,f1-score
0,99.9,99.39,99.9,99.64
1,99.74,99.56,99.74,99.65
2,99.61,99.42,99.61,99.52
3,99.11,99.7,99.11,99.4
4,99.59,98.79,99.59,99.19
5,99.1,98.66,99.1,98.88
6,99.16,99.58,99.16,99.37
7,99.22,99.71,99.22,99.46
8,99.79,99.69,99.79,99.74
9,98.61,99.3,98.61,98.96
