,accuracy,precision,recall,f1-score
T-shirt/top,89.1,80.27,89.1,84.45
Trouser,97.8,97.7,97.8,97.75
Pullover,83.3,76.85,83.3,79.94
Dress,90.6,87.2,90.6,88.87
Coat,76.2,81.32,76.2,78.68
Sandal,96.2,98.16,96.2,97.17
Shirt,62.8,77.06,62.8,69.2
Sneaker,96.8,93.62,96.8,95.18
Bag,98.1,96.75,98.1,97.42
Ankle boot,95.1,96.45,95.1,95.77
